id,date,mean_temp_celsius,gender,pr_correct,tr_correct,ch_tournament,start_time,end_time,ch_correct
001022004,2022-06-21,31.1417910447761,Male,5,7,1,12H 10M 0S,13H 18M 0S,9
001022005,2022-06-21,31.1417910447761,Female,5,5,1,12H 10M 0S,13H 18M 0S,5
001022006,2022-06-21,31.1417910447761,Male,8,6,0,12H 10M 0S,13H 18M 0S,6
001022007,2022-06-21,31.1417910447761,Female,5,6,1,12H 10M 0S,13H 18M 0S,6
001022009,2022-06-21,31.1417910447761,Female,3,5,0,12H 10M 0S,13H 18M 0S,3
001022010,2022-06-21,31.1417910447761,Male,5,7,0,12H 10M 0S,13H 18M 0S,8
001022011,2022-06-21,31.1417910447761,Female,6,8,1,12H 10M 0S,13H 18M 0S,7
001022013,2022-06-21,31.1417910447761,Female,3,6,0,12H 10M 0S,13H 18M 0S,3
001022014,2022-06-21,31.1417910447761,Female,5,8,1,12H 10M 0S,13H 18M 0S,9
001022015,2022-06-21,31.1417910447761,Male,7,6,0,12H 10M 0S,13H 18M 0S,7
001022016,2022-06-21,31.1417910447761,Female,5,7,0,12H 10M 0S,13H 18M 0S,4
001023001,2022-06-21,32.3,Male,5,7,1,14H 12M 0S,15H 18M 0S,8
001023002,2022-06-21,32.3,Female,4,7,0,14H 12M 0S,15H 18M 0S,8
001023003,2022-06-21,32.3,Male,8,7,1,14H 12M 0S,15H 18M 0S,7
001023005,2022-06-21,32.3,Female,6,5,0,14H 12M 0S,15H 18M 0S,6
001023006,2022-06-21,32.3,Male,5,6,1,14H 12M 0S,15H 18M 0S,6
001023009,2022-06-21,32.3,Male,7,9,0,14H 12M 0S,15H 18M 0S,7
001023010,2022-06-21,32.3,Female,6,5,0,14H 12M 0S,15H 18M 0S,7
001023011,2022-06-21,32.3,Male,5,6,0,14H 12M 0S,15H 18M 0S,4
001023013,2022-06-21,32.3,Male,5,7,0,14H 12M 0S,15H 18M 0S,7
001023014,2022-06-21,32.3,Female,4,7,1,14H 12M 0S,15H 18M 0S,6
001026001,2022-06-22,30.4813333333333,Male,5,7,0,10H 10M 0S,11H 26M 0S,5
001026002,2022-06-22,30.4813333333333,Female,5,7,1,10H 10M 0S,11H 26M 0S,7
001026003,2022-06-22,30.4813333333333,Male,5,8,0,10H 10M 0S,11H 26M 0S,7
001026004,2022-06-22,30.4813333333333,Male,5,7,0,10H 10M 0S,11H 26M 0S,8
001026005,2022-06-22,30.4813333333333,Female,4,4,1,10H 10M 0S,11H 26M 0S,6
001026006,2022-06-22,30.4813333333333,Male,5,6,0,10H 10M 0S,11H 26M 0S,6
001026007,2022-06-22,30.4813333333333,Female,3,5,0,10H 10M 0S,11H 26M 0S,3
001026009,2022-06-22,30.4813333333333,Female,6,8,1,10H 10M 0S,11H 26M 0S,6
001026010,2022-06-22,30.4813333333333,Male,6,5,0,10H 10M 0S,11H 26M 0S,3
001026011,2022-06-22,30.4813333333333,Male,6,6,1,10H 10M 0S,11H 26M 0S,4
001026013,2022-06-22,30.4813333333333,Female,6,7,0,10H 10M 0S,11H 26M 0S,6
001026014,2022-06-22,30.4813333333333,Female,6,7,0,10H 10M 0S,11H 26M 0S,5
001026015,2022-06-22,30.4813333333333,Male,4,7,0,10H 10M 0S,11H 26M 0S,7
